Id	Location	Treatment	Age	LocateTreatAge	DRNType	Treatments	HeadCS	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26	Symm27	Symm28	Symm29	Symm30	Symm31	Symm32	Symm33	Symm34	Symm35	Symm36	Symm37	Symm38	Symm39	Symm40	Symm41	Symm42	Symm43	Symm44	Symm45	Symm46	Symm47	Symm48	Symm49	Symm50	Symm51	Symm52	Symm53	Symm54	Symm55	Symm56	Symm57	Symm58	Symm59	Symm60	Symm61	Symm62	Symm63	Symm64	Symm65	Symm66
ET-d14-03	Erimo	Tad	14day	ETd14	T14	T14	17.31181839	0	0.201322212	0.05769787	0.183944365	0.098554239	0.143310059	0.145767812	0.063059937	0.14786037	-0.12345514	0.103341228	-0.144924264	-0.103341228	-0.144924264	-0.14786037	-0.12345514	-0.145767812	0.063059937	-0.098554239	0.143310059	-0.05769787	0.183944365	0.101385873	0.107774359	-0.101385873	0.107774359	0.149420976	0.04515249	0.153311476	0.028350196	0.157197825	0.011481319	0.163167944	-0.005162919	0.167668451	-0.022613596	0.168544584	-0.04097843	0.167678443	-0.059823213	0.165414289	-0.078439111	0.1626643	-0.096231912	0.157377869	-0.112105246	-0.149420976	0.04515249	-0.153311476	0.028350196	-0.157197825	0.011481319	-0.163167944	-0.005162919	-0.167668451	-0.022613596	-0.168544584	-0.04097843	-0.167678443	-0.059823213	-0.165414289	-0.078439111	-0.1626643	-0.096231912	-0.157377869	-0.112105246
ET-d14-04	Erimo	Tad	14day	ETd14	T14	T14	21.87064705	0	0.198121818	0.070371106	0.170906116	0.117225509	0.127091847	0.151337758	0.062597307	0.148720467	-0.117474385	0.101981643	-0.15574688	-0.101981643	-0.15574688	-0.148720467	-0.117474385	-0.151337758	0.062597307	-0.117225509	0.127091847	-0.070371106	0.170906116	0.097882426	0.102162831	-0.097882426	0.102162831	0.155821186	0.046398856	0.158821135	0.030701116	0.161230236	0.014447288	0.164674122	-0.0020149	0.168416361	-0.018848585	0.169277069	-0.036387606	0.168659651	-0.054435974	0.16736199	-0.072538285	0.165275586	-0.09007389	0.160746784	-0.105845764	-0.155821186	0.046398856	-0.158821135	0.030701116	-0.161230236	0.014447288	-0.164674122	-0.0020149	-0.168416361	-0.018848585	-0.169277069	-0.036387606	-0.168659651	-0.054435974	-0.16736199	-0.072538285	-0.165275586	-0.09007389	-0.160746784	-0.105845764
ET-d14-05	Erimo	Tad	14day	ETd14	T14	T14	15.27367102	0	0.218653103	0.060695271	0.194871925	0.102053365	0.148256682	0.137891462	0.06735774	0.143499934	-0.134420336	0.09660183	-0.15793016	-0.09660183	-0.15793016	-0.143499934	-0.134420336	-0.137891462	0.06735774	-0.102053365	0.148256682	-0.060695271	0.194871925	0.095692287	0.11424708	-0.095692287	0.11424708	0.142753251	0.049095556	0.147175192	0.03169401	0.151266471	0.013824831	0.155756353	-0.004427759	0.160635547	-0.023112421	0.162806926	-0.042600353	0.162942531	-0.062556686	0.161590675	-0.082545401	0.158634665	-0.101855878	0.151833524	-0.119225382	-0.142753251	0.049095556	-0.147175192	0.03169401	-0.151266471	0.013824831	-0.155756353	-0.004427759	-0.160635547	-0.023112421	-0.162806926	-0.042600353	-0.162942531	-0.062556686	-0.161590675	-0.082545401	-0.158634665	-0.101855878	-0.151833524	-0.119225382
ET-d14-06	Erimo	Tad	14day	ETd14	T14	T14	19.65828561	0	0.190736072	0.057571857	0.177222476	0.097780924	0.133457986	0.145007646	0.058847095	0.163956039	-0.11995452	0.109332773	-0.143610135	-0.109332773	-0.143610135	-0.163956039	-0.11995452	-0.145007646	0.058847095	-0.097780924	0.133457986	-0.057571857	0.177222476	0.10758621	0.104463389	-0.10758621	0.104463389	0.150011847	0.042704	0.154037745	0.027376034	0.156711102	0.011482024	0.16157792	-0.004304538	0.165595318	-0.020871064	0.168941485	-0.037911125	0.170480009	-0.05540378	0.170798034	-0.072975603	0.17090422	-0.090034422	0.168590889	-0.105855854	-0.150011847	0.042704	-0.154037745	0.027376034	-0.156711102	0.011482024	-0.16157792	-0.004304538	-0.165595318	-0.020871064	-0.168941485	-0.037911125	-0.170480009	-0.05540378	-0.170798034	-0.072975603	-0.17090422	-0.090034422	-0.168590889	-0.105855854
ET-d14-07	Erimo	Tad	14day	ETd14	T14	T14	17.48228245	0	0.19692061	0.056998835	0.176223594	0.100384081	0.13808925	0.144676777	0.059292972	0.155784715	-0.119754515	0.106629469	-0.155225361	-0.106629469	-0.155225361	-0.155784715	-0.119754515	-0.144676777	0.059292972	-0.100384081	0.13808925	-0.056998835	0.176223594	0.099815103	0.107228208	-0.099815103	0.107228208	0.149282871	0.042149205	0.152712668	0.026334093	0.157865214	0.011041572	0.161953501	-0.004703305	0.165629278	-0.021004578	0.169475823	-0.037505323	0.170602378	-0.054614303	0.171119969	-0.071886514	0.16919662	-0.088911323	0.164662518	-0.105213977	-0.149282871	0.042149205	-0.152712668	0.026334093	-0.157865214	0.011041572	-0.161953501	-0.004703305	-0.165629278	-0.021004578	-0.169475823	-0.037505323	-0.170602378	-0.054614303	-0.171119969	-0.071886514	-0.16919662	-0.088911323	-0.164662518	-0.105213977
ET-d14-08	Erimo	Tad	14day	ETd14	T14	T14	19.15074519	0	0.197895759	0.055478548	0.180254179	0.111475389	0.131903415	0.145947079	0.062467981	0.157949725	-0.121117036	0.109863186	-0.13988966	-0.109863186	-0.13988966	-0.157949725	-0.121117036	-0.145947079	0.062467981	-0.111475389	0.131903415	-0.055478548	0.180254179	0.095799067	0.100651809	-0.095799067	0.100651809	0.15019878	0.04611144	0.15260865	0.02981281	0.156421135	0.013181509	0.159443656	-0.004096558	0.164709485	-0.021430408	0.168418671	-0.039466309	0.170598669	-0.057898018	0.170811884	-0.076265372	0.169758362	-0.093824621	0.166423669	-0.109343041	-0.15019878	0.04611144	-0.15260865	0.02981281	-0.156421135	0.013181509	-0.159443656	-0.004096558	-0.164709485	-0.021430408	-0.168418671	-0.039466309	-0.170598669	-0.057898018	-0.170811884	-0.076265372	-0.169758362	-0.093824621	-0.166423669	-0.109343041
ET-d14-09	Erimo	Tad	14day	ETd14	T14	T14	21.64959709	0	0.189059231	0.061144391	0.169368114	0.106573908	0.128992762	0.145654827	0.064417062	0.158396075	-0.124402274	0.107392516	-0.144271397	-0.107392516	-0.144271397	-0.158396075	-0.124402274	-0.145654827	0.064417062	-0.106573908	0.128992762	-0.061144391	0.169368114	0.102512597	0.104794235	-0.102512597	0.104794235	0.152109078	0.048726943	0.157056413	0.033168659	0.159463748	0.016441821	0.161735293	-9.91E-04	0.165385305	-0.018944957	0.169261984	-0.037144955	0.169979234	-0.056062187	0.170611565	-0.075064523	0.169065152	-0.093417539	0.164730563	-0.110140737	-0.152109078	0.048726943	-0.157056413	0.033168659	-0.159463748	0.016441821	-0.161735293	-9.91E-04	-0.165385305	-0.018944957	-0.169261984	-0.037144955	-0.169979234	-0.056062187	-0.170611565	-0.075064523	-0.169065152	-0.093417539	-0.164730563	-0.110140737
ET-d14-11	Erimo	Tad	14day	ETd14	T14	T14	14.10081173	0	0.201433877	0.059990029	0.182252824	0.095386576	0.136076858	0.141103018	0.062308049	0.155908526	-0.127057178	0.101836633	-0.146816272	-0.101836633	-0.146816272	-0.155908526	-0.127057178	-0.141103018	0.062308049	-0.095386576	0.136076858	-0.059990029	0.182252824	0.105156086	0.108967478	-0.105156086	0.108967478	0.147770385	0.045772918	0.153021283	0.029770353	0.15614436	0.013267594	0.163426265	-0.00164772	0.164520892	-0.019210708	0.165656378	-0.038265041	0.165294796	-0.058050606	0.166454295	-0.07783237	0.166615923	-0.096715015	0.163196341	-0.113538103	-0.147770385	0.045772918	-0.153021283	0.029770353	-0.15614436	0.013267594	-0.163426265	-0.00164772	-0.164520892	-0.019210708	-0.165656378	-0.038265041	-0.165294796	-0.058050606	-0.166454295	-0.07783237	-0.166615923	-0.096715015	-0.163196341	-0.113538103
ET-d14-12	Erimo	Tad	14day	ETd14	T14	T14	16.71822518	0	0.202383525	0.061242799	0.181710597	0.0968164	0.140341547	0.136948298	0.066688792	0.155144112	-0.12736527	0.104681015	-0.156742283	-0.104681015	-0.156742283	-0.155144112	-0.12736527	-0.136948298	0.066688792	-0.0968164	0.140341547	-0.061242799	0.181710597	0.098883736	0.109722841	-0.098883736	0.109722841	0.143360603	0.049894664	0.147439037	0.032976239	0.151825735	0.015491502	0.156115341	-0.002569206	0.161746686	-0.020913267	0.165635533	-0.04001702	0.168139076	-0.059469641	0.167971583	-0.078961451	0.167707255	-0.097666491	0.164530077	-0.114313316	-0.143360603	0.049894664	-0.147439037	0.032976239	-0.151825735	0.015491502	-0.156115341	-0.002569206	-0.161746686	-0.020913267	-0.165635533	-0.04001702	-0.168139076	-0.059469641	-0.167971583	-0.078961451	-0.167707255	-0.097666491	-0.164530077	-0.114313316
ET-d14-13	Erimo	Tad	14day	ETd14	T14	T14	20.65713035	0	0.204909357	0.068494249	0.175582565	0.11475027	0.131616344	0.146721726	0.063271266	0.151502214	-0.125647347	0.099296901	-0.14985082	-0.099296901	-0.14985082	-0.151502214	-0.125647347	-0.146721726	0.063271266	-0.11475027	0.131616344	-0.068494249	0.175582565	0.098209793	0.106203123	-0.098209793	0.106203123	0.153200914	0.047885482	0.155656993	0.032055793	0.158255618	0.015503109	0.161457629	-0.00155836	0.164484869	-0.019372511	0.165568762	-0.038034124	0.166500779	-0.057115182	0.165844854	-0.076231397	0.163934165	-0.094852018	0.160197614	-0.111910602	-0.153200914	0.047885482	-0.155656993	0.032055793	-0.158255618	0.015503109	-0.161457629	-0.00155836	-0.164484869	-0.019372511	-0.165568762	-0.038034124	-0.166500779	-0.057115182	-0.165844854	-0.076231397	-0.163934165	-0.094852018	-0.160197614	-0.111910602
